display,manuscript_destination,source_artifact,denominator,unit,period,uncertainty,analysis_status,authorization
Table 1,Main Table 1,table_1_resource_quality.csv,community-area-condition-year observations,counts and percentages,2019-2024,descriptive denominators and percentages; not unique patients,governed resource audit artifact,results_authorized=false
eTable 1,Supplement,etable_1_resource_quality.csv,source condition-record rows and geography-period-condition rows,QA fields,2019-2024,missing and suppression states,verified audit artifact,results_authorized=false
Figure 1,Main Figure 1,figure_1_data_flow_coverage.png,77 community areas and source rows,counts and percentage points,2019-2024 with 2022-2024 descriptive rank period,missing/suppression states explicit,governed resource audit artifact,results_authorized=false
Figure 2,Main Figure 2,figure_2_cardiometabolic_patterns.png,complete-period hypertension/COPD tract-community cohort plus pairwise CHM-PLACES frames,percentile ranks and quartile classifications,2022-2024 denominator-pooled CHM proportion; source-specific comparator period,1000-replicate area-cluster bootstrap uncertainty in supplement; combined-diabetes comparison not run,proposed primary direct cross-frame comparison with secondary source alignment,results_authorized=false
Figure 3,Main Figure 3,figure_3_copd_patterns.png,condition-specific direct tract-community eligible frames and repeated source denominators,classification transitions and stability,2022-2024 unweighted annual mean CHM ranks,annual and noncrossing sensitivity; classification intervals not run,exploratory direct cross-frame comparison not literal aggregation,results_authorized=false
Table 2,Main Table 2,table_2_geographic_resolution.csv,complete 2022-2024 tract-community cohort with dominant link at least 0.99,exact agreement disagreement within-community variance share and Q4 movement,2022-2024 denominator-pooled CHM proportion,1000-replicate area-cluster bootstrap uncertainty in supplement; combined diabetes not run,proposed primary direct tract-to-community comparison,results_authorized=false
eTable 2,QC only,etable_2_model_readiness_sensitivities.csv,model-specific eligible areas,model gates and audit sensitivities,aligned 2022-2024,HC3 95%/97.5% CIs and VIF gate,model audit only,results_authorized=false
eTable 8,Supplement,etable_8_geographic_consequences.csv,eligible tracts,highest-quartile direct cross-frame classifications,2022-2024,all-tract and noncrossing sensitivity,direct community-area and ZCTA comparison,results_authorized=false
eTable 9,Supplement,etable_9_uncertainty_feasibility.csv,pairwise-complete eligible tracts,discordance probability,contemporary 2022-2024,PLACES-only Monte Carlo; joint denominator uncertainty not run,uncertainty feasibility audit,results_authorized=false
eFigure 11,Supplement,supplement_geographic_consequences.pdf,eligible tracts,classification transitions and annual Jaccard,2022-2024,annual and noncrossing sensitivity,exploratory direct cross-frame comparison,results_authorized=false
eFigure 12,Supplement,supplement_fdr_spatial_survival.pdf,77 community areas,raw and BH-FDR surviving local classifications,descriptive pooled 2022-2024,9999 seeded permutations,community-area spatial diagnostic,results_authorized=false
