analysis_id,analysis_name,question,estimand,unit,grain,denominator,period,missingness_rule,method,uncertainty,diagnostic,sensitivity_status,source_artifact,authorization,display_id
A1,Variance partitioning / VPC-ICC,between-community-area share of direct tract-measure variance,between-community-area share of direct tract-measure variance,proportion of variance,census_tract,411,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,method_of_moments_one_way_random_effects,95% nonparametric community-area cluster bootstrap interval,eligible_with_precision_caution,primary,direct_chm_tract_frame,False,etable_7
A2,Area-label discriminatory accuracy,descriptive separation of high direct tract measures by community-area label,descriptive separation of high direct tract measures by community-area label,area-label AUC,census_tract,401,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,mann_whitney_leave_one_tract_out_area_mean,95% nonparametric community-area cluster bootstrap interval,eligible_with_descriptive_boundary,primary,direct_chm_tract_frame,False,etable_7
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,nan,411,pooled source rows supplied by caller,suppressed and nonfinite values excluded,nan,seeded Monte-Carlo interval propagation,eligible,primary,direct_chm_and_governed_public_interval_frame,False,etable_7
A1,Variance partitioning / VPC-ICC,between-community-area share of direct tract-measure variance,between-community-area share of direct tract-measure variance,proportion of variance,census_tract,722,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,method_of_moments_one_way_random_effects,95% nonparametric community-area cluster bootstrap interval,eligible_with_precision_caution,primary,direct_chm_tract_frame,False,etable_7
A2,Area-label discriminatory accuracy,descriptive separation of high direct tract measures by community-area label,descriptive separation of high direct tract measures by community-area label,area-label AUC,census_tract,720,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,mann_whitney_leave_one_tract_out_area_mean,95% nonparametric community-area cluster bootstrap interval,eligible_with_descriptive_boundary,primary,direct_chm_tract_frame,False,etable_7
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,nan,722,pooled source rows supplied by caller,suppressed and nonfinite values excluded,nan,seeded Monte-Carlo interval propagation,eligible,primary,direct_chm_and_governed_public_interval_frame,False,etable_7
A1,Variance partitioning / VPC-ICC,between-community-area share of direct tract-measure variance,between-community-area share of direct tract-measure variance,proportion of variance,census_tract,144,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,method_of_moments_one_way_random_effects,95% nonparametric community-area cluster bootstrap interval,eligible_with_precision_caution,noncrossing,direct_chm_tract_frame,False,etable_7
A2,Area-label discriminatory accuracy,descriptive separation of high direct tract measures by community-area label,descriptive separation of high direct tract measures by community-area label,area-label AUC,census_tract,133,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,mann_whitney_leave_one_tract_out_area_mean,95% nonparametric community-area cluster bootstrap interval,eligible_with_descriptive_boundary,noncrossing,direct_chm_tract_frame,False,etable_7
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,nan,144,pooled source rows supplied by caller,suppressed and nonfinite values excluded,nan,seeded Monte-Carlo interval propagation,eligible,noncrossing,direct_chm_and_governed_public_interval_frame,False,etable_7
A1,Variance partitioning / VPC-ICC,between-community-area share of direct tract-measure variance,between-community-area share of direct tract-measure variance,proportion of variance,census_tract,245,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,method_of_moments_one_way_random_effects,95% nonparametric community-area cluster bootstrap interval,eligible_with_precision_caution,noncrossing,direct_chm_tract_frame,False,etable_7
A2,Area-label discriminatory accuracy,descriptive separation of high direct tract measures by community-area label,descriptive separation of high direct tract measures by community-area label,area-label AUC,census_tract,235,2022-2024 pooled direct tract measures,suppressed and nonfinite values excluded,mann_whitney_leave_one_tract_out_area_mean,95% nonparametric community-area cluster bootstrap interval,eligible_with_descriptive_boundary,noncrossing,direct_chm_tract_frame,False,etable_7
A5,Uncertainty-aware discordance,share of tract rank gaps exceeding comparator uncertainty,share of tract rank gaps exceeding comparator uncertainty,probability of discordance beyond supplied interval,nan,245,pooled source rows supplied by caller,suppressed and nonfinite values excluded,nan,seeded Monte-Carlo interval propagation,eligible,noncrossing,direct_chm_and_governed_public_interval_frame,False,etable_7
